id,user,likes,dislikes,followers
2,skilmurray1,1881,2408,10297
3,vhowgego2,1094,2944,18682
5,htacker4,1714,1731,17460
6,bhutchence5,1801,2448,14053
7,epetr6,1564,3477,15114
13,hfenlonc,826,2198,15261
16,gpettettf,1005,2376,17118
21,emulqueenk,1059,1201,11178
24,asummersiden,1181,2025,14670
25,hdaykino,506,2028,16207
26,pmingop,2041,2624,11538
27,jlysterq,1871,2399,19736
30,kdalgarnot,1737,3109,19495
31,mmaxweellu,1956,2910,11321
33,scroalw,2254,3330,14658
34,nlearnedx,1920,3051,14833
35,cmarshamy,667,3405,12689
36,flagez,1760,2775,15614
37,loates10,2333,3499,10776
40,rworsley13,1908,2614,12308
42,kitzakovitz15,767,867,18202
43,tpfeffer16,1971,2722,11190
45,jdressell18,541,2145,19160
49,mboycott1c,2850,3024,16378
50,lbarribal1d,507,3133,11283
52,scawse1f,2700,3150,16535
53,jsaing1g,568,1349,13058
54,hnairns1h,919,1822,15051
55,ctabour1i,670,833,16278
57,mchastaing1k,842,2675,11659
58,kmeineken1l,1768,3109,11206
61,szupo1o,2426,2938,14766
62,akemson1p,2335,2622,18287
63,cgossling1q,1754,2387,12781
67,chintzer1u,616,1927,11221
69,gletts1w,660,2800,19638
72,mlorden1z,1013,3216,12306
74,bmarcus21,1180,3019,11631
75,agehringer22,552,2830,18837
76,mgerriet23,2804,3376,17424
79,kklemencic26,1607,2383,10536
80,mvossgen27,1241,3127,12900
81,lnorcliff28,1349,1840,16688
83,wjeavon2a,2368,2948,17086
84,skingston2b,1755,3255,11603
86,choggin2d,2649,3017,12052
90,malexis2h,1284,2078,16317
91,wcluff2i,1411,2044,12270
92,udubock2j,1808,3214,13306
97,gmacsharry2o,1110,1143,17742
99,apetrecz2q,1837,2047,11796
100,bgreser2r,709,2611,15249
