id,user,likes,dislikes,followers
1,lmalletratt0,2300,3146,18555
6,bhutchence5,1220,1392,14075
8,pcucinotta7,768,3031,14563
12,acalcottb,2901,2966,14163
14,phigbind,2366,2511,12854
15,dlabese,2246,2628,11253
16,gpettettf,647,3049,17160
17,dgifkinsg,1336,2470,14680
18,rrosewarneh,2285,2838,11728
19,dmayoi,1436,3253,15617
21,emulqueenk,2227,3467,17779
22,amcgeel,1020,3164,12854
24,asummersiden,2246,3262,13743
28,rkinghornr,1329,1551,17495
29,gmerrgans,2308,3207,17557
30,kdalgarnot,859,1450,19064
31,mmaxweellu,2827,3211,19588
32,nthurlbeckv,1204,3075,12007
33,scroalw,1794,2200,19397
34,nlearnedx,1315,2773,17436
35,cmarshamy,1366,3464,10461
36,flagez,1391,2125,10629
37,loates10,1206,1931,18306
39,jdeackes12,849,2393,14400
41,hdominetti14,2112,2596,19389
43,tpfeffer16,1768,1944,10509
45,jdressell18,699,2265,15623
46,aferneyhough19,2331,2422,15964
47,srowett1a,696,2368,11703
49,mboycott1c,977,3369,14360
51,jnorsworthy1e,1244,3223,12744
53,jsaing1g,2301,2733,11140
55,ctabour1i,2101,2845,14144
56,mtithecott1j,719,2329,11182
60,cburder1n,1949,2920,17743
61,szupo1o,708,1844,16602
62,akemson1p,527,1094,18001
66,eantusch1t,634,2551,17795
67,chintzer1u,1140,2800,16939
68,svasin1v,791,886,16828
69,gletts1w,774,1753,17019
73,cdmitrievski20,700,2703,11488
74,bmarcus21,1981,3158,16272
75,agehringer22,1165,2251,12997
76,mgerriet23,2647,3069,17206
77,mlovatt24,1292,1912,10225
79,kklemencic26,903,1186,10289
81,lnorcliff28,759,2194,11554
82,rphilp29,644,759,11487
88,lholbarrow2f,2234,2711,18839
89,cgrimsdell2g,1455,2001,11165
91,wcluff2i,1386,3234,12120
92,udubock2j,1312,2630,11025
93,dgoracci2k,2568,2666,15785
94,eearey2l,557,2395,12249
97,gmacsharry2o,1045,1791,19852
98,cdarkott2p,2094,3324,12057
