id,user,likes,dislikes,followers
1,lmalletratt0,2300,3146,18555
3,vhowgego2,2721,318,14967
9,mlumly8,2779,605,16904
10,mduerden9,2296,1958,12262
12,acalcottb,2901,2966,14163
13,hfenlonc,2450,398,12242
14,phigbind,2366,2511,12854
15,dlabese,2246,2628,11253
18,rrosewarneh,2285,2838,11728
20,dgannanj,2772,677,16364
21,emulqueenk,2227,3467,17779
23,zfurseym,2056,991,14823
24,asummersiden,2246,3262,13743
26,pmingop,2976,2382,10899
27,jlysterq,2709,2516,17951
29,gmerrgans,2308,3207,17557
31,mmaxweellu,2827,3211,19588
38,ayea11,2491,917,17952
40,rworsley13,2232,1492,14437
41,hdominetti14,2112,2596,19389
42,kitzakovitz15,2299,780,10852
44,ojanu17,2547,1189,19498
46,aferneyhough19,2331,2422,15964
48,ahodgins1b,2435,1124,12978
50,lbarribal1d,2485,2231,11625
52,scawse1f,2443,1076,18925
53,jsaing1g,2301,2733,11140
55,ctabour1i,2101,2845,14144
57,mchastaing1k,2676,2004,12325
58,kmeineken1l,2458,2279,18696
59,nkubicek1m,2903,506,17441
63,cgossling1q,2460,2185,16568
64,snoller1r,2422,1460,15055
65,cfriday1s,2959,420,10191
71,tmckeaney1y,2058,761,15192
76,mgerriet23,2647,3069,17206
78,pboyack25,2709,1811,11447
84,skingston2b,2619,709,12321
85,fstollhofer2c,2476,813,16013
86,choggin2d,2723,1156,19446
88,lholbarrow2f,2234,2711,18839
90,malexis2h,2155,588,13079
93,dgoracci2k,2568,2666,15785
95,tquartermaine2m,2092,1380,12265
96,lkabsch2n,2774,719,11706
98,cdarkott2p,2094,3324,12057
100,bgreser2r,2003,778,12701
